Grip	Sex	Anxiety
36.1	0	4.5
57.8	0	4.0
35.0	0	3.25
41.5	0	3.0
47.0	0	2.5
45.8	0	4.5
39.0	0	3.0
45.6	0	3.25
46.9	0	1.75
44.6	0	2.75
57.4	0	2.0
34.5	0	2.25
62.9	0	1.5
49.6	0	3.0
43.0	0	2.0
39.9	0	3.0
38.9	0	2.75
48.5	0	3.25
44.6	0	2.25
30.5	0	4.5
40.6	0	2.75
44.8	0	4.75
31.4	0	4.75
32.6	0	4.75
37.1	0	2.75
31.5	0	2.75
51.2	0	4.0
39.7	0	1.75
49.4	0	2.75
47.0	0	2.25
40.4	0	3.25
45.7	0	2.25
42.3	0	3.75
53.9	0	1.5
44.2	0	3.25
38.3	0	2.75
34.4	0	1.25
36.0	0	1.25
34.4	0	4.5
61.9	0	2.25
39.3	0	2.0
40.3	0	1.0
52.2	0	4.5
46.2	0	4.75
51.7	0	3.0
37.1	0	3.25
40.4	0	3.75
32.7	0	2.25
38.4	0	1.75
54.2	0	2.5
39.4	0	3.5
38.2	0	3.25
33.0	0	2.5
54.4	0	3.0
45.4	0	4.5
60.7	0	2.5
30.9	0	3.5
46.3	0	3.0
27.7	0	4.0
49.5	0	2.5
41.6	0	4.0
46.0	0	1.25
42.4	0	1.75
32.2	0	4.0
50.1	0	3.5
28.6	0	2.75
37.8	0	3.75
32.1	0	3.5
37.7	0	1.25
44.7	0	4.5
49.5	0	4.25
48.9	0	3.75
40.5	0	2.5
36.2	0	2.5
43.0	0	4.75
52.6	0	1.0
39.1	0	3.5
47.5	0	4.75
48.0	0	4.0
30.9	0	2.75
44.5	0	3.75
38.8	0	3.75
52.4	0	4.5
50.6	0	3.5
59.5	0	3.0
51.2	0	2.75
56.0	0	4.0
38.5	0	2.75
36.6	0	4.5
37.7	0	1.0
42.2	0	3.25
47.2	0	2.75
37.2	0	3.75
39.2	0	3.5
41.0	0	1.5
60.0	0	3.0
30.9	0	4.5
52.1	0	3.25
55.8	0	3.5
25.3	0	5.0
38.1	0	3.25
26.8	0	2.25
35.2	0	3.5
52.8	0	3.75
36.7	0	4.0
42.6	0	3.0
48.5	0	3.5
41.1	0	4.5
36.3	0	4.0
40.6	0	2.5
27.3	0	3.5
43.4	0	1.75
27.9	0	3.25
31.1	0	2.75
30.8	0	4.5
39.8	0	2.25
34.4	0	2.25
41.9	0	4.25
39.7	0	1.5
25.5	0	4.0
59.4	0	2.5
31.3	0	3.75
36.8	0	3.5
47.5	0	2.25
42.6	0	4.0
39.2	0	3.5
36.3	0	2.5
34.4	0	2.25
29.9	0	2.5
34.1	0	4.0
24.2	0	3.75
30.0	0	4.25
36.8	0	4.75
53.8	0	3.75
42.2	0	3.5
24.4	0	4.5
36.2	0	4.75
28.6	0	2.0
25.5	0	2.75
45.5	0	3.75
60.7	0	2.0
33.6	0	2.75
35.3	0	2.75
47.2	0	3.75
46.7	0	2.0
59.8	0	3.75
39.4	0	3.25
36.5	0	4.0
43.1	0	2.25
49.2	0	3.0
27.3	1	3.25
19.0	1	4.75
26.7	1	2.5
25.8	1	3.0
31.3	1	3.5
33.8	1	4.0
26.6	1	3.25
20.8	1	3.75
31.5	1	4.5
21.4	1	4.5
32.4	1	4.0
30.6	1	4.75
19.7	1	4.5
24.6	1	5.0
25.3	1	4.25
23.8	1	3.75
22.4	1	2.5
20.5	1	3.5
27.8	1	3.75
21.7	1	3.5
34.4	1	2.0
28.3	1	4.0
22.1	1	4.75
33.4	1	3.75
28.4	1	3.75
33.1	1	4.0
21.7	1	4.25
29.0	1	2.0
28.4	1	3.5
22.0	1	3.5
32.2	1	3.5
20.0	1	2.5
25.3	1	3.5
26.0	1	3.25
25.9	1	2.5
25.7	1	4.75
24.7	1	4.25
29.0	1	2.25
25.6	1	2.25
22.5	1	4.25
27.4	1	4.5
19.0	1	5.0
34.6	1	3.0
13.4	1	3.25
23.1	1	2.5
20.6	1	4.25
22.0	1	4.25
31.3	1	4.0
27.0	1	2.0
27.6	1	4.25
24.1	1	3.5
28.1	1	4.25
26.2	1	3.0
29.4	1	3.0
17.1	1	4.0
26.1	1	3.5
22.9	1	2.0
21.1	1	5.0
29.4	1	1.75
27.1	1	2.25
28.4	1	4.5
20.5	1	2.5
21.3	1	3.5
21.0	1	3.75
30.2	1	3.5
20.4	1	4.25
29.1	1	2.5
34.6	1	3.0
30.7	1	2.5
26.9	1	3.25
28.2	1	4.25
23.0	1	3.0
16.6	1	4.0
29.7	1	3.5
29.6	1	3.25
21.7	1	3.25
25.3	1	2.5
10.0	1	3.75
23.5	1	2.0
22.0	1	3.75
23.2	1	4.75
18.3	1	4.0
27.9	1	1.0
28.2	1	2.75
19.0	1	4.0
25.2	1	4.75
28.1	1	4.75
27.1	1	3.25
24.7	1	3.25
23.1	1	4.75
18.3	1	2.25
12.2	1	3.25
21.7	1	4.5
28.6	1	2.75
28.5	1	4.5
26.2	1	4.5
21.4	1	4.5
28.1	1	3.5
22.4	1	4.5
31.1	1	4.0
26.3	1	3.5
27.7	1	4.5
15.6	1	4.5
22.5	1	3.0
27.3	1	4.5
20.9	1	3.25
28.9	1	4.0
26.3	1	3.5
31.5	1	4.5
27.5	1	4.5
29.6	1	3.75
28.9	1	3.5
18.5	1	3.5
27.0	1	4.0
28.8	1	4.75
24.8	1	1.75
25.9	1	4.0
27.6	1	4.5
27.3	1	3.5
23.4	1	3.5
31.9	1	4.25
25.9	1	4.5
23.9	1	5.0
30.3	1	4.0
34.8	1	3.5
32.9	1	3.75
28.2	1	4.0
25.4	1	4.75
26.0	1	2.25
13.8	1	4.25
22.2	1	3.25
18.6	1	3.25
22.4	1	2.5
26.3	1	4.0
27.1	1	4.25
26.2	1	4.75
28.9	1	3.0
23.7	1	2.25
26.6	1	3.75
18.0	1	3.75
23.9	1	2.0
25.8	1	3.25
34.9	1	2.5
26.7	1	3.75
30.1	1	3.0
31.8	1	4.0
35.0	1	4.5
23.6	1	3.5
28.9	1	2.0
18.7	1	3.75
30.9	1	4.5
25.7	1	4.0
11.2	1	3.25
20.0	1	3.75
30.2	1	2.5
32.8	1	5.0
27.0	1	4.0
26.2	1	3.5
27.8	1	4.0
27.1	1	5.0
28.5	1	4.5
33.3	1	4.0
26.7	1	2.75
27.0	1	5.0
36.5	1	3.0
23.4	1	2.5
24.4	1	4.5
32.6	1	4.5
30.5	1	1.5
25.1	1	2.25
28.0	1	3.25
28.7	1	2.5
26.5	1	5.0
24.5	1	3.0
18.4	1	4.25
20.7	1	3.0
26.7	1	2.75
32.9	1	3.25
16.3	1	4.5
19.0	1	4.75
25.7	1	3.0
31.8	1	3.75
35.1	1	2.75
31.6	1	4.5
27.9	1	4.75
33.2	1	4.25
28.0	1	2.5
24.4	1	4.75
32.0	1	1.5
28.1	1	3.0
23.7	1	5.0
28.7	1	1.5
21.7	1	3.0
31.1	1	1.5
26.2	1	4.0
24.1	1	4.25
24.0	1	3.75
26.4	1	2.5
30.6	1	2.25
19.6	1	4.75
17.7	1	1.75
27.1	1	2.0
28.6	1	4.0
25.6	1	1.75
18.9	1	3.25
17.8	1	4.25
32.0	1	3.5
27.8	1	2.5
15.2	1	3.75
23.6	1	4.25
22.0	1	2.25
22.3	1	4.75
24.5	1	2.25
24.7	1	4.0
23.4	1	3.75
23.2	1	4.0
31.9	1	4.5
16.2	1	3.5
22.9	1	3.25
33.7	1	4.5
22.4	1	4.0
23.0	1	3.25
31.6	1	3.75
27.8	1	3.25
22.2	1	4.75
27.7	1	5.0
24.5	1	4.75
29.2	1	3.5
26.3	1	4.75
24.6	1	3.75
36.3	1	4.5
22.1	1	3.75
25.5	1	3.75
22.3	1	4.5
20.3	1	3.75
31.5	1	3.25
	1	4.5
25.1	1	3.5
27.7	1	5.0
24.6	1	4.75
46.5	1	2.5
26.6	1	4.0
26.5	1	4.25
31.2	1	3.25
26.9	1	4.75
24.1	1	4.0
22.8	1	2.25
24.3	1	2.5
27.2	1	5.0
24.6	1	3.75
